Variable,Series_Name,Series_template,Factor,notes,notes_variable
Capacity|Electricity,Electricity Capacity : Total Electric Power Sector Capacity,{EIA_dataset}.{EIA_scenario}.CAP_NA_ELEP_NA_TEP_NA_USA_GW.A,1,,
Capacity|Electricity|Biomass,"Renewable Energy : Electric Power Sector : Generating Capacity : Wood and Other Biomass, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_ELEP_NA_WBM_NA_NA_GW.A,1,,
Capacity|Electricity|Coal,"Electricity : Electric Power Sector : Capacity : Coal, United States",{EIA_dataset}.{EIA_scenario}.CAP_NA_ELEP_NA_CL_NA_NA_GW.A,1,,
Capacity|Electricity|Geothermal,"Renewable Energy : Electric Power Sector : Generating Capacity : Geothermal, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_NA_NA_GEOTHM_NA_NA_GW.A,1,,
Capacity|Electricity|Hydro,"Renewable Energy : Electric Power Sector : Generating Capacity : Hydropower, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_ELEP_NA_HYD_CNV_NA_GW.A,1,,
Capacity|Electricity|Nuclear,"Electricity : Electric Power Sector : Capacity : Nuclear, United States",{EIA_dataset}.{EIA_scenario}.CAP_NA_ELEP_NA_NUP_NA_NA_GW.A,1,,
Capacity|Electricity|Solar,"Renewable Energy : All Sectors : Generating Capacity : Solar, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_NA_NA_SLR_NA_NA_GW.A,1,,
Capacity|Electricity|Solar|CSP,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Thermal, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_ELEP_NA_SLR_THERM_NA_GW.A,1,,
Capacity|Electricity|Solar|PV,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Photovoltaic, United States",{EIA_dataset}.{EIA_scenario}.CAP_GEN_ELEP_NA_SLR_PHTVL_NA_GW.A,1,,
Capacity|Electricity|Storage Capacity|PSH,"Electricity : Electric Power Sector : Capacity : Pumped Storage, United States",{EIA_dataset}.{EIA_scenario}.CAP_NA_ELEP_NA_PST_NA_NA_GW.A,1,,
