model	scenario	region	variable	unit	2020	2030	2040
AEO.2020	REF2020	USA	Capacity|Electricity	GW	1099.85	1277.16	1442.76
AEO.2020	REF2020	USA	Capacity|Electricity|Biomass	GW	3.17	3.18	3.18
AEO.2020	REF2020	USA	Capacity|Electricity|Coal	GW	226.11	132.19	126.62
AEO.2020	REF2020	USA	Capacity|Electricity|Geothermal	GW	2.46	3.68	5.76
AEO.2020	REF2020	USA	Capacity|Electricity|Hydro	GW	79.27	79.29	79.29
AEO.2020	REF2020	USA	Capacity|Electricity|Nuclear	GW	97.09	83.31	78.86
AEO.2020	REF2020	USA	Capacity|Electricity|Solar	GW	84.89	232.83	309.28
AEO.2020	REF2020	USA	Capacity|Electricity|Solar|CSP	GW	1.76	1.96	2.05
AEO.2020	REF2020	USA	Capacity|Electricity|Solar|PV	GW	47.55	157.86	202.78
AEO.2020	REF2020	USA	Capacity|Electricity|Storage Capacity|PSH	GW	22.83	22.83	22.83
AEO.2020	REF2020	USA	Capacity|Electricity|Wind	GW	122.03	173.69	187.46
AEO.2020	REF2020	USA	Capacity|Electricity|Wind|Offshore	GW	0.03	9.96	18.16
AEO.2020	REF2020	USA	Capacity|Electricity|Wind|Onshore	GW	122	163.73	169.3
AEO.2020	REF2020	USA	Emissions|CO2|Energy	Mt CO2/yr	4992.91	4673.91	4715.01
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Coal	Mt CO2/yr	980.58	806.86	763.94
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings	Mt CO2/yr	582.7	562.94	558.01
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial	Mt CO2/yr	251.68	255.77	262.02
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect	Mt CO2/yr	540.02	449.66	456.35
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings|Indirect	Mt CO2/yr	1109.27	910.49	928.57
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings|Residential	Mt CO2/yr	331.02	307.17	295.99
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect	Mt CO2/yr	569.25	460.83	472.22
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Industry	Mt CO2/yr	1032.81	1146.43	1219.63
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum	Mt CO2/yr	18.85	16.39	16.62
AEO.2020	REF2020	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals	Mt CO2/yr	278.17	345.9	385.87
